Key,Recommendation,Reason,CISTicket
HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows\PowerShell\ScriptBlockLogging:EnableScriptBlockInvocationLogging,18.9.95.1,"Outdated key in benchmark, https://admx.help/?Category=Windows_10_2016&Policy=Microsoft.Policies.PowerShell::EnableScriptBlockLogging",
HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows\PowerShell\Transcription:EnableInvocationHeader,18.9.95.2,These are unmentioned keys impacted by the remediation steps,
HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows\PowerShell\Transcription:OutputDirectory,18.9.95.2,These are unmentioned keys impacted by the remediation steps,
HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows\WindowsUpdate:PauseFeatureUpdatesStartTime,18.9.102.1.2,these keys have changed in 1703+ and the documentation is outdated. https://docs.microsoft.com/en-us/windows/deployment/update/waas-configure-wufb,
HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows\WindowsUpdate:PauseQualityUpdatesStartTime,18.9.102.1.3,these keys have changed in 1703+ and the documentation is outdated. https://docs.microsoft.com/en-us/windows/deployment/update/waas-configure-wufb,
HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows\WindowsUpdate\AU:AUOptions,18.9.102.2,These are unmentioned keys impacted by the remediation steps,
HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows\WindowsUpdate\AU:AutomaticMaintenanceEnabled,18.9.102.2,These are unmentioned keys impacted by the remediation steps,
HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows\WindowsUpdate\AU:ScheduledInstallFourthWeek,18.9.102.2,These are unmentioned keys impacted by the remediation steps,
HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows\WindowsUpdate\AU:AllowMUUpdateService,18.9.102.2,These are unmentioned keys impacted by the remediation steps,
HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows\WindowsUpdate\AU:ScheduledInstallThirdWeek,18.9.102.2,These are unmentioned keys impacted by the remediation steps,
HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows\WindowsUpdate\AU:ScheduledInstallSecondWeek,18.9.102.2,These are unmentioned keys impacted by the remediation steps,
HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows\WindowsUpdate\AU:ScheduledInstallFirstWeek,18.9.102.2,These are unmentioned keys impacted by the remediation steps,
HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows\WindowsUpdate\AU:ScheduledInstallEveryWeek,18.9.102.2,These are unmentioned keys impacted by the remediation steps,
HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows\WindowsUpdate\AU:ScheduledInstallTime,18.9.102.2,These are unmentioned keys impacted by the remediation steps,
HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services:MaxTicketExpiry,18.8.36.2,These are unmentioned keys impacted by the remediation steps,
HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services:MaxTicketExpiryUnits,18.8.36.2,These are unmentioned keys impacted by the remediation steps,
HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services\RAUnsolicit:,18.8.36.1,These are unmentioned keys impacted by the remediation steps,
HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services:fAllowUnsolicitedFullControl,18.8.36.1,These are unmentioned keys impacted by the remediation steps,
HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services:fUseMailto,18.8.36.2,These are unmentioned keys impacted by the remediation steps,
HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services:fAllowFullControl,18.8.36.2,These are unmentioned keys impacted by the remediation steps,
HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\Windows\WCN\Registrars:MaxWCNDeviceNumber,18.5.20.1,These are unmentioned keys impacted by the remediation steps,
HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\Windows\WCN\Registrars:HigherPrecedenceRegistrar,18.5.20.1,These are unmentioned keys impacted by the remediation steps,
HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\Windows\WinRM\Service:IPv6Filter,18.9.97.2.2,These are unmentioned keys impacted by the remediation steps,
HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\Windows\WinRM\Service:IPv4Filter,18.9.97.2.2,These are unmentioned keys impacted by the remediation steps,
HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\PushToInstall:DisablePushToInstall,ignore,This is not present in the benchmark,
HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\WindowsFirewall:PolicyVersion,ignore,This is not present in the benchmark,
